# This file was created using create_datpin_files.R function write_tsDatFile
      #and used all inputs from csv files found in folder:
      #hydradata/data-raw
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  833
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
2 30  6 312.22  0.484
1 31  6 3555.52 0.211
2 31  6 1478.12 0.505
3 32  6 5612.13 0.26
4 32  6 5390.26 0.437
3 33  6 3430.24 0.184
4 33  6 3120.04 0.417
3 34  6 6619.43 0.225
4 34  6 8958.77 0.427
3 35  6 4519.09 0.214
4 35  6 7600.57 0.358
3 36  6 4183.47 0.242
4 36  6 9649.06 0.34
3 37  6 5740.12 0.278
4 37  6 7259.02 0.286
3 38  6 3010.73 0.3
4 38  6 6187.35 0.212
3 39  6 5868.16 0.375
4 39  6 4221.09 0.199
3 40  6 2753.76 0.253
4 40  6 3262.81 0.263
3 41  6 3370.06 0.344
4 41  6 3114.23 0.303
3 42  6 3369.8  0.191
4 42  6 2634.58 0.233
1 1 1 29249.09  0.242
2 1 1 51735.21  0.25
1 2 1 24443.46  0.143
2 2 1 25343.92  0.164
1 3 1 13085.82  0.225
2 3 1 27835.02  0.192
1 4 1 22579.6 0.324
2 4 1 35265.57  0.162
1 5 1 5959.03 0.321
2 5 1 107473.04 0.822
1 6 1 16876.78  0.452
2 6 1 36080.6 0.192
1 7 1 14996.19  0.282
2 7 1 30528.43  0.262
1 8 1 4824.14 0.414
2 8 1 30251.71  0.19
1 9 1 5353.01 0.406
2 9 1 23504.98  0.178
1 10  1 7559.67 0.291
2 10  1 15258.2 0.157
1 11  1 12211.01  0.325
2 11  1 23515.28  0.174
1 12  1 7773.46 0.295
2 12  1 13229.25  0.195
1 13  1 17138.91  0.44
2 13  1 15889.18  0.186
1 14  1 2463.57 0.372
2 14  1 12703.2 0.152
1 15  1 5543.02 0.342
2 15  1 9204.08 0.233
1 16  1 2521.57 0.417
2 16  1 10428.73  0.284
1 17  1 5992.99 0.501
2 17  1 2080.3  0.495
1 18  1 6661.5  0.39
2 18  1 9137.18 0.391
1 19  1 3377.96 0.294
2 19  1 12150.29  0.322
1 20  1 5041.25 0.526
2 20  1 5567.65 0.218
1 21  1 6712.85 0.266
2 21  1 17838.17  0.421
1 22  1 3278.32 0.375
2 22  1 6162.9  0.227
1 23  1 2648.06 0.352
2 23  1 12800.86  0.384
1 24  1 5288.04 0.347
2 24  1 4861.99 0.331
1 25  1 25990.92  0.579
2 25  1 5957.87 0.247
1 26  1 5571.63 0.46
2 26  1 5256.31 0.394
1 27  1 8758.19 0.54
2 27  1 39416.83  0.729
1 28  1 3472.71 0.364
2 28  1 5531.35 0.279
1 29  1 3621.19 0.563
2 29  1 10010.71  0.316
1 30  1 1782.59 0.42
2 30  1 9185.74 0.305
1 31  1 4710.85 0.404
2 31  1 7012.35 0.278
3 32  1 5965.91 0.491
4 32  1 5783.51 0.33
3 33  1 4155.79 0.537
4 33  1 5677.25 0.331
3 34  1 5567.49 0.379
4 34  1 2506.5  0.279
3 35  1 1932.58 0.52
4 35  1 4662.98 0.274
3 36  1 2611.54 0.556
4 36  1 10800.81  0.714
3 37  1 1618.36 0.588
4 37  1 3990.37 0.34
3 38  1 5304.96 0.325
4 38  1 2417.77 0.3
3 39  1 7997.45 0.502
4 39  1 8415.58 0.438
3 40  1 1617.59 0.403
4 40  1 13891.67  0.41
3 41  1 2355.4  0.479
4 41  1 3730.18 0.362
3 42  1 2753.69 0.647
4 42  1 8501.6  0.816
1 1 5 23751.59  0.476
2 1 5 52419.2 0.331
1 2 5 61243.68  0.846
2 2 5 30015.89  0.214
1 3 5 25143.28  0.345
2 3 5 83508.86  0.426
1 4 5 14905.71  0.264
2 4 5 54347.19  0.227
1 5 5 11460.61  0.47
2 5 5 21447.6 0.259
1 6 5 5006.79 0.386
2 6 5 19354.5 0.273
1 7 5 7081.53 0.438
2 7 5 11809.26  0.26
1 8 5 6172.01 0.369
2 8 5 19875.35  0.42
1 9 5 9643.49 0.424
2 9 5 9775.99 0.314
1 10  5 1803.02 0.405
2 10  5 8426.7  0.466
1 11  5 13258.36  0.481
2 11  5 5190.95 0.267
1 12  5 5741.65 0.469
2 12  5 7785.18 0.284
1 13  5 5194.87 0.541
2 13  5 13360.08  0.369
1 14  5 1580.48 0.47
2 14  5 6246.72 0.47
1 15  5 2953.48 0.502
2 15  5 3128.35 0.342
1 16  5 10788.46  0.585
2 16  5 4526.18 0.423
1 17  5 3547.46 0.562
2 17  5 12629.01  0.784
1 18  5 24090.95  0.498
2 18  5 13761.53  0.676
1 19  5 6254.1  0.48
2 19  5 43760.63  0.712
1 20  5 12580.98  0.807
2 20  5 36240.79  0.834
1 21  5 9364.18 0.336
2 21  5 9122.38 0.429
1 22  5 32477.2 0.866
2 22  5 12248.76  0.425
1 23  5 25303.16  0.614
2 23  5 33803.93  0.657
1 24  5 30763.72  0.748
2 24  5 15506.9 0.51
1 25  5 76390.08  0.472
2 25  5 34905.75  0.358
1 26  5 31321.9 0.496
2 26  5 25857.12  0.435
1 27  5 75660.09  0.314
2 27  5 66547.5 0.356
1 28  5 29001.3 0.389
2 28  5 32405.1 0.264
1 29  5 39064.58  0.429
2 29  5 27152.86  0.346
1 30  5 62269.04  0.854
2 30  5 66783.33  0.297
1 31  5 26971.93  0.571
2 31  5 57450.09  0.563
3 32  5 41259.01  0.34
4 32  5 60303.97  0.356
3 33  5 23706.27  0.299
4 33  5 61895.99  0.189
3 34  5 66659.92  0.255
4 34  5 36006.52  0.231
3 35  5 54064.22  0.63
4 35  5 82663.22  0.261
3 36  5 99914.61  0.254
4 36  5 87897.24  0.337
3 37  5 135678.32 0.192
4 37  5 321730.47 0.446
3 38  5 198608.59 0.387
4 38  5 245187.38 0.211
3 39  5 176834.13 0.368
4 39  5 213605.74 0.17
3 40  5 139351.36 0.474
4 40  5 132253.25 0.191
3 41  5 29333.11  0.36
4 41  5 106350.3  0.4
3 42  5 7396.96 0.353
4 42  5 89957.76  0.274
1 1 10  3928.63 0.167
2 1 10  1192.64 0.179
1 2 10  3712.81 0.168
2 2 10  1228.39 0.194
1 3 10  9175.36 0.202
2 3 10  4234.94 0.267
1 4 10  2935.64 0.278
2 4 10  2435.85 0.261
1 5 10  3082.52 0.26
2 5 10  2764.49 0.237
1 6 10  3533.36 0.355
2 6 10  4131.76 0.198
1 7 10  877.69  0.296
2 7 10  2109.19 0.33
1 8 10  1232.1  0.241
2 8 10  1181.22 0.364
1 9 10  949.96  0.34
2 9 10  921.68  0.261
1 10  10  773.35  0.294
2 10  10  492.62  0.25
1 11  10  294.04  0.388
2 11  10  870.78  0.212
1 12  10  1246.79 0.466
2 12  10  891.15  0.248
1 13  10  1083.63 0.279
2 13  10  1580.58 0.365
1 14  10  1049.93 0.264
2 14  10  1248.21 0.201
1 15  10  1080.81 0.402
2 15  10  1600.61 0.428
1 16  10  565.54  0.398
2 16  10  522.76  0.263
1 17  10  1292.41 0.272
2 17  10  995.88  0.262
1 18  10  1082.79 0.544
2 18  10  2573.89 0.5
1 19  10  1459.8  0.466
2 19  10  2660.37 0.352
1 20  10  3196.37 0.397
2 20  10  3675.56 0.353
1 21  10  6224.96 0.369
2 21  10  2439.48 0.245
1 22  10  7333.42 0.275
2 22  10  7752.84 0.471
1 23  10  5487.28 0.476
2 23  10  6321.25 0.28
1 24  10  11033.35  0.399
2 24  10  5047.26 0.35
1 25  10  3884.02 0.444
2 25  10  10439.24  0.379
1 26  10  4669.55 0.335
2 26  10  5624.74 0.484
1 27  10  4591.44 0.443
2 27  10  1677.77 0.319
1 28  10  2259.92 0.488
2 28  10  2851.73 0.408
1 29  10  5951.64 0.284
2 29  10  2028.06 0.297
1 30  10  12621.41  0.318
2 30  10  6321.95 0.267
1 31  10  9449.94 0.335
2 31  10  4740.69 0.298
3 32  10  7152.95 0.304
4 32  10  4872.21 0.273
3 33  10  2807.14 0.326
4 33  10  6120.92 0.314
3 34  10  2898.91 0.318
4 34  10  2614.91 0.255
3 35  10  2867.63 0.435
4 35  10  3620.07 0.478
3 36  10  1010.47 0.342
4 36  10  1053.8  0.255
3 37  10  1168.06 0.341
4 37  10  749.65  0.215
3 38  10  518.63  0.614
4 38  10  531.21  0.201
3 39  10  838.11  0.352
4 39  10  608.14  0.335
3 40  10  1316.15 0.817
4 40  10  275.64  0.228
3 41  10  609.71  0.506
4 41  10  53.59 0.351
3 42  10  586.89  0.324
4 42  10  384.95  0.455
1 1 8 7140.43 0.19
2 1 8 3142.39 0.323
1 2 8 10470.65  0.163
2 2 8 1643.69 0.229
1 3 8 7624.46 0.342
2 3 8 3283.66 0.242
1 4 8 8287.08 0.229
2 4 8 4290.5  0.282
1 5 8 7641.47 0.248
2 5 8 3540.14 0.279
1 6 8 8384.15 0.357
2 6 8 11803.57  0.288
1 7 8 5097.74 0.306
2 7 8 10199.2 0.298
1 8 8 3249.12 0.31
2 8 8 5238.46 0.291
1 9 8 2894.34 0.377
2 9 8 3447.1  0.277
1 10  8 1981.15 0.375
2 10  8 2217.23 0.216
1 11  8 2753.25 0.312
2 11  8 3384.02 0.229
