full time series of predicted survey index
survey year spp area pred_survey
1 38 6 1 6805.03
1 38 7 1 98833.9
1 38 8 1 2633.17
1 38 9 1 30910.2
1 38 10 1 1179.23
1 39 1 1 3900.26
1 39 2 1 1187.46
1 39 3 1 1145.36
1 39 4 1 1209.01
1 39 5 1 121430
1 39 6 1 6805.89
1 39 7 1 96498.3
1 39 8 1 2541.25
1 39 9 1 30802.9
1 39 10 1 1246.3
1 40 1 1 4743.47
1 40 2 1 1034.8
1 40 3 1 1269.24
1 40 4 1 1377.39
1 40 5 1 136178
1 40 6 1 8088.69
1 40 7 1 94313.7
1 40 8 1 2432.06
1 40 9 1 29908.7
1 40 10 1 1295.93
1 41 1 1 5483.59
1 41 2 1 893.933
1 41 3 1 1311.54
1 41 4 1 1544.82
1 41 5 1 147285
1 41 6 1 8857.58
1 41 7 1 92167.4
1 41 8 1 2313.62
1 41 9 1 28958
1 41 10 1 1403.92
1 42 1 1 8357.66
1 42 2 1 792.576
1 42 3 1 1292.49
1 42 4 1 1700.91
1 42 5 1 158839
1 42 6 1 13116.4
1 42 7 1 90201.6
1 42 8 1 2220.04
1 42 9 1 29006.7
1 42 10 1 1687.59
2 1 1 1 40328.3
2 1 2 1 240.9
2 1 3 1 438.825
2 1 4 1 544.852
2 1 5 1 10065.3
2 1 6 1 1888.66
2 1 7 1 24794.5
2 1 8 1 3858.35
2 1 9 1 30950.1
2 1 10 1 2903.23
2 2 1 1 40805.6
2 2 2 1 222.016
2 2 3 1 380.425
2 2 4 1 570.936
2 2 5 1 11307.8
2 2 6 1 1838.29
2 2 7 1 22651.6
2 2 8 1 3960.46
2 2 9 1 32677.9
2 2 10 1 2900.58
2 3 1 1 36938.6
2 3 2 1 191.649
2 3 3 1 332.34
2 3 4 1 578.053
2 3 5 1 12312.4
2 3 6 1 1839.32
2 3 7 1 20718.8
2 3 8 1 3577.64
2 3 9 1 32730.6
2 3 10 1 2799.47
2 4 1 1 38087.7
2 4 2 1 163.023
2 4 3 1 294.07
2 4 4 1 572.82
2 4 5 1 12961.2
2 4 6 1 1843.72
2 4 7 1 18959.9
2 4 8 1 3366.29
2 4 9 1 32359.3
2 4 10 1 3210.54
2 5 1 1 34965.3
2 5 2 1 143.145
2 5 3 1 266.425
2 5 4 1 560.068
2 5 5 1 13337.4
2 5 6 1 1800.3
2 5 7 1 17414
2 5 8 1 3278.11
2 5 9 1 31656
2 5 10 1 2911.05
2 6 1 1 33112.9
2 6 2 1 133.66
2 6 3 1 242.65
2 6 4 1 546.85
2 6 5 1 13533.8
2 6 6 1 1697.92
2 6 7 1 15965.6
2 6 8 1 3035.35
2 6 9 1 30972.1
2 6 10 1 2134.64
2 7 1 1 32876.3
2 7 2 1 144.238
2 7 3 1 227.393
2 7 4 1 530.691
2 7 5 1 13568.5
2 7 6 1 1643.7
2 7 7 1 14690
2 7 8 1 2814.79
2 7 9 1 30635.4
2 7 10 1 1927.46
2 8 1 1 28435.1
2 8 2 1 207.908
2 8 3 1 219.044
2 8 4 1 505.123
2 8 5 1 13786.1
2 8 6 1 1684.93
2 8 7 1 13538
2 8 8 1 2582.43
2 8 9 1 29615.3
2 8 10 1 1679.26
2 9 1 1 27727.7
2 9 2 1 412.407
2 9 3 1 219.721
2 9 4 1 481.089
2 9 5 1 13899
2 9 6 1 1711.2
2 9 7 1 12565.9
2 9 8 1 2467.32
2 9 9 1 28666.3
2 9 10 1 1324.27
2 10 1 1 25834.8
2 10 2 1 724.551
2 10 3 1 229.295
2 10 4 1 456.287
2 10 5 1 14027.4
2 10 6 1 1696.22
2 10 7 1 15141.2
2 10 8 1 2317.04
2 10 9 1 27552
2 10 10 1 1037.05
2 11 1 1 23919.9
2 11 2 1 1017.07
2 11 3 1 243.59
2 11 4 1 424.397
2 11 5 1 14149.6
2 11 6 1 1630.41
2 11 7 1 16701.6
2 11 8 1 2130.22
2 11 9 1 26198.7
2 11 10 1 1534.83
2 12 1 1 22773.5
2 12 2 1 1259.19
2 12 3 1 263.47
2 12 4 1 379.636
2 12 5 1 14197.5
2 12 6 1 1618.05
2 12 7 1 17941.6
2 12 8 1 2025.94
2 12 9 1 25824.7
2 12 10 1 2601.05
2 13 1 1 18036.7
2 13 2 1 1373.17
2 13 3 1 341.7
2 13 4 1 335.707
2 13 5 1 14164.8
2 13 6 1 1584.43
2 13 7 1 18726.2
2 13 8 1 1882.85
2 13 9 1 23994.2
2 13 10 1 1733.05
2 14 1 1 13123.1
2 14 2 1 1398.48
2 14 3 1 442.352
2 14 4 1 314.12
2 14 5 1 14146.3
2 14 6 1 1811.53
2 14 7 1 19143
2 14 8 1 1672.08
2 14 9 1 22263.9
2 14 10 1 1383.3
2 15 1 1 9319.81
2 15 2 1 1446.46
2 15 3 1 539.066
2 15 4 1 289.739
2 15 5 1 14198.3
2 15 6 1 1999.89
2 15 7 1 19308.9
2 15 8 1 1511.23
2 15 9 1 20881.8
2 15 10 1 1087.41
2 16 1 1 6128.32
2 16 2 1 1483.75
2 16 3 1 611.437
2 16 4 1 256.261
2 16 5 1 14421.1
2 16 6 1 2051.99
2 16 7 1 19218.9
2 16 8 1 1267.87
2 16 9 1 19916.5
2 16 10 1 972.056
2 17 1 1 4441.34
2 17 2 1 1455.78
2 17 3 1 647.995
2 17 4 1 239.411
2 17 5 1 14618.1
2 17 6 1 1971.33
2 17 7 1 18855
2 17 8 1 1519.99
2 17 9 1 19293.1
2 17 10 1 958.953
2 18 1 1 5863.59
2 18 2 1 1526.52
2 18 3 1 892.875
2 18 4 1 223.103
2 18 5 1 14807.3
2 18 6 1 1846.15
2 18 7 1 18350.8
2 18 8 1 1802.28
2 18 9 1 19716.2
2 18 10 1 1575.52
2 19 1 1 6823.95
2 19 2 1 1772.73
2 19 3 1 1226.84
2 19 4 1 210.546
2 19 5 1 15383.5
2 19 6 1 1737.12
2 19 7 1 17899.7
2 19 8 1 1998.56
2 19 9 1 19877.4
2 19 10 1 2276.37
2 20 1 1 6980.63
2 20 2 1 1923.24
2 20 3 1 1534.52
2 20 4 1 197.55
2 20 5 1 15944.6
2 20 6 1 1762.49
2 20 7 1 17362.8
2 20 8 1 2014.52
2 20 9 1 21304.2
2 20 10 1 3081.44
2 21 1 1 7293.65
2 21 2 1 1895.05
2 21 3 1 1869.47
2 21 4 1 192.869
2 21 5 1 16488.2
2 21 6 1 1781.54
2 21 7 1 16775.5
2 21 8 1 2253.9
2 21 9 1 22101.3
2 21 10 1 4076.52
2 22 1 1 7063.66
2 22 2 1 1859.11
2 22 3 1 2136.13
2 22 4 1 182.855
2 22 5 1 16862.6
2 22 6 1 1727.79
2 22 7 1 16096.5
2 22 8 1 2538.08
2 22 9 1 23007.1
2 22 10 1 4426.35
2 23 1 1 7156.98
2 23 2 1 1961.99
2 23 3 1 2330.79
2 23 4 1 175.494
2 23 5 1 17664.1
2 23 6 1 1701.42
2 23 7 1 15442.7
2 23 8 1 2675.12
2 23 9 1 24123.3
2 23 10 1 3828.86
2 24 1 1 6247.09
2 24 2 1 2022.47
2 24 3 1 2427.65
2 24 4 1 170.247
2 24 5 1 18759.2
2 24 6 1 1677.81
2 24 7 1 14789.4
2 24 8 1 2506.05
2 24 9 1 21994.7
2 24 10 1 3074.93
2 25 1 1 5524.6
2 25 2 1 1931.01
2 25 3 1 2417.46
2 25 4 1 162.775
2 25 5 1 20336.8
2 25 6 1 1664.29
2 25 7 1 14102.1
2 25 8 1 2351.76
2 25 9 1 22898
2 25 10 1 2495.38
2 26 1 1 4076.04
2 26 2 1 1849.89
2 26 3 1 2366.95
2 26 4 1 148.565
2 26 5 1 26335
2 26 6 1 1699.2
2 26 7 1 13479.5
2 26 8 1 2076.68
2 26 9 1 20528
2 26 10 1 2127.64
2 27 1 1 3990.41
2 27 2 1 1868.76
2 27 3 1 2284.31
2 27 4 1 142.998
2 27 5 1 35284.8
2 27 6 1 1793.97
2 27 7 1 12904.4
2 27 8 1 1854.3
2 27 9 1 20948.9
2 27 10 1 1200.99
2 28 1 1 4167.54
2 28 2 1 1908.7
2 28 3 1 2166.3
2 28 4 1 130.864
2 28 5 1 43501.3
2 28 6 1 1859.08
2 28 7 1 12341
2 28 8 1 1769.75
2 28 9 1 21552.5
2 28 10 1 851.541
